HPI Rank,Country,CountryCode,Sub-Region,Life Expectancy,Well-being(0-10),Happy Life Years,Footprint(gha/capita),Happy Planet Index,Population,GDP/capita,Governance Rank(1 = highest gov.),
71,Poland,POL,7b,76.1,5.8,51.3,3.94,42.6,38184000,19885,31,
97,Portugal,PRT,2e,79.5,4.9,48,4.12,38.7,10638000,25416,26,
149,Qatar,QAT,3b,78.4,6.6,57.7,11.68,25.2,1759000,80944,38,
75,Romania,ROU,7b,74,4.9,44.9,2.84,42.2,21438000,14524,50,
122,Russia,RUS,7c,68.8,5.5,44.7,4.4,34.5,141750000,19891,111,
108,Rwanda,RWA,4b,55.4,4,29.8,0.71,36.9,10624000,1163,69,
56,Saudi Arabia,SAU,3b,73.9,6.7,55.2,3.99,46,27448000,22713,74,
126,Senegal,SEN,4c,59.3,3.8,31,1.53,33.3,12434000,1935,89,
79,Serbia,SRB,7b,74.5,4.5,42.6,2.57,41.3,7291000,11349,64,
139,Sierra Leone,SLE,4c,47.8,4.1,26.1,1.13,28.8,5867000,827,106,
90,Singapore,SGP,6b,81.1,6.5,59.4,6.1,39.8,5077000,57932,12,
89,Slovakia,SVK,7b,75.4,6.1,52.4,4.66,40.1,5430000,23303,32,
87,Slovenia,SVN,7b,79.3,6.1,55.3,5.21,40.2,2049000,26925,28,
142,South Africa,ZAF,4a,52.8,4.7,31,2.59,28.2,49991000,10565,48,
62,Spain,ESP,2e,81.4,6.2,57.4,4.74,44.1,46071000,32230,29,
35,Sri Lanka,LKA,5a,74.9,4.2,41.2,1.21,49.4,20860000,5078,85,
101,Sudan,SDN,4b,61.5,4.4,34.8,1.63,37.6,43552000,2256,147,
52,Sweden,SWE,2d,81.4,7.5,65.6,5.71,46.2,9378000,39024,3,
34,Switzerland,CHE,2c,82.3,7.5,66.5,5.01,50.3,7826000,46384,6,
47,Syria,SYR,3b,75.9,4.1,41.1,1.45,47.1,20447000,5285,123,
43,Tajikistan,TJK,7a,67.5,4.4,38.2,0.9,47.8,6879000,2163,131,
133,Tanzania,TZA,4b,58.2,3.2,27.7,1.19,30.7,44841000,1434,81,
20,Thailand,THA,6c,74.1,6.2,52.4,2.41,53.5,69122000,8554,82,
141,Togo,TGO,4c,57.1,2.8,25.3,1.03,28.2,6028000,998,120,
136,Trinidad and Tobago,TTO,1a,70.1,6.7,52.2,7.56,30.3,1341000,25739,54,
39,Tunisia,TUN,3a,74.5,4.7,43.9,1.76,48.3,10549000,9550,66,
44,Turkey,TUR,3b,74,5.5,48.2,2.55,47.6,72752000,15687,57,
95,Turkmenistan,TKM,7a,65,6.6,47.8,3.98,39.1,5042000,8274,144,
131,Uganda,UGA,4b,54.1,4.2,29.8,1.57,31.5,33424000,1272,100,
100,Ukraine,UKR,7c,68.5,5.1,42.3,3.19,37.6,45871000,6721,96,
130,United Arab Emirates,ARE,3b,76.5,7.2,59.9,8.88,31.8,7512000,47213,43,
41,United Kingdom,GBR,2c,80.2,7,61.8,4.71,47.9,62232000,35686,17,
105,United States of America,USA,2b,78.5,7.2,61.3,7.19,37.3,309349000,47153,21,
93,Uruguay,URY,1c,77,6.1,53.6,5.08,39.3,3357000,14108,30,
54,Uzbekistan,UZB,7a,68.3,5.1,42.4,1.82,46,28228000,3106,142,
9,Venezuela,VEN,1b,74.4,7.5,59.9,3.02,56.9,28834000,12233,140,
2,Vietnam,VNM,6c,75.2,5.8,50.6,1.39,60.4,86928000,3205,94,
68,Yemen,YEM,3b,65.5,3.9,34.7,0.87,43,24053000,2653,138,
99,Zambia,ZMB,4a,49,5.3,31,0.84,37.7,12927000,1562,83,
115,Zimbabwe,ZWE,4a,51.4,4.8,30.9,1.17,35.3,12571000,376,146,
